SMILES,Min_PE
CC(CCC(=O)O)=NNC(=O)C1=NC=CS1,-2874.71674
CCC1=NC2=C(N=C1CC)C(=O)NC(=O)N2,-2726.68653
CC1=C(C(C)C)C(=O)N(C2=CC=CC=C2)N1C,-2629.64277
C1=CC=C2C=C(C=CC2=C1)[N+](=O)[O-],-2096.2689
CC(=NO)C(=NO)C1=CC=CC=C1,-2200.59903
CC1=C(OCC(O)CO)C=CC=C1,-2303.13493
COC1=C(OCC(O)CO)C=CC=C1,-2597.77665
OCCOC1=CC=CC(OCCO)=C1,-2597.87975
C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])Br,-2500.61351
CC(=O)CC(C)=NCCN=C(C)CC(C)=O,-2707.33197
C1=CC(=CC=C1C(=O)NO)[N+](=O)[O-],-2490.13272
CCC(C)C1=C(OC(=O)NC)C=CC=C1,-2480.81059
CN(C(=O)C1=CC=C(C=C1)[N+](=O)[O-])O,-2640.01618
COC1=CC=C(C=CC(=O)C2=C(O)C=CC=C2)C=C1,-3038.93903
CONC(=O)C1=CC=C(C=C1)[N+](=O)[O-],-2639.76058
CC1=CC(C)=NC(OC2=NN(C)C(C)=C2)=N1,-2578.81601
NC(=O)CNC(=O)OCC1=CC=CC=C1,-2649.15324
CC(C)COC(=O)C1=C(C(=O)OCC(C)C)C=CC=C1,-3444.33035
COC1=CC2=C(C=C1)NC=C2CCNC(C)=O,-2775.90327
O=C(O)COC1=C(Cl)C=C(Cl)C(Cl)=C1,-2736.71415
COC1=CC=C(C(C2=CC=C(OC)C=C2)C(Cl)(Cl)Cl)C=C1,-3558.50615
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],-3432.37284
CC12CCC3(O)C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3571.76296
CCCCOC(=O)C1=C(C(=O)OCC2=CC=CC=C2)C=CC=C1,-3784.96367
CC(CCC(=O)O)=NNC(=O)C1=CC=NC=C1,-2970.8691
CC(=O)NC1=C(C)C=C(Cl)C=C1,-1989.58964
O=C(O)C1=CC=C(NC(=O)C2=CN=CC=C2)C=C1,-2990.19897
O=C(NC(=O)C1=CN=CC=C1)NC1=CC=CC=C1,-2894.30164
C=CCC1(CCCC)C(=O)NC(=O)NC1=O,-2826.74768
CCC=C(C)C1(CC)C(=O)NC(=O)NC1=O,-2827.00885
CC(C)CC1(CCO)C(=O)NC(=S)NC1=O,-2880.65369
CCC1(CC(C)=O)C(=O)NC(=O)NC1=O,-2822.91337
CCCOC1=C(C=C(C=C1)[N+](=O)[O-])N,-2522.87169
O=S(=O)(C1CCCCC1)C1CCCCC1,-2539.20295
CCCC1(CCO)C(=O)NC(=S)NC1=O,-2730.72852
COC1=CC=C2C=C(CCC(C)=O)C=CC2=C1,-2649.04075
CC(C)(NC(=O)C1=CC=CC=C1)C(=O)O,-2599.50891
C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])F,-2743.95703
COC1=C(OC)C2=C(COC2=O)C(C#N)=C1,-2838.43453
